,Index,Time Serie,AUSTRALIA - AUSTRALIAN DOLLAR/US$,NEW ZEALAND - NEW ZELAND DOLLAR/US$
567,567,2002-03-06,1.9172,2.3337
568,568,2002-03-07,1.9037,2.325
569,569,2002-03-08,1.9102,2.3229
570,570,2002-03-11,1.9186,2.3364
571,571,2002-03-12,1.9209,2.3294
572,572,2002-03-13,1.9231,2.3283
573,573,2002-03-14,1.9124,2.3256
574,574,2002-03-15,1.9022,2.2899
575,575,2002-03-18,1.9066,2.2962
576,576,2002-03-19,1.9102,2.3068
577,577,2002-03-20,1.8839,2.266
578,578,2002-03-21,1.879,2.2686
579,579,2002-03-22,1.8776,2.2743
580,580,2002-03-25,1.885,2.2795
581,581,2002-03-26,1.8914,2.291
582,582,2002-03-27,1.8957,2.2962
583,583,2002-03-28,1.8741,2.2696
584,584,2002-03-29,1.8751,2.2701
585,585,2002-04-01,1.8702,2.2589
586,586,2002-04-02,1.8702,2.2624
587,587,2002-04-03,1.8818,2.2758
588,588,2002-04-04,1.885,2.2743
589,589,2002-04-05,1.8847,2.2847
590,590,2002-04-08,1.8975,2.3116
591,591,2002-04-09,1.8961,2.3015
592,592,2002-04-10,1.8857,2.2883
593,593,2002-04-11,1.8719999999999999,2.2594
594,594,2002-04-12,1.8737,2.2614
595,595,2002-04-15,1.8822,2.2712
596,596,2002-04-16,1.8797,2.2743
597,597,2002-04-17,1.8622,2.2523
598,598,2002-04-18,1.8563,2.2452
599,599,2002-04-19,1.8553,2.2386
600,600,2002-04-22,1.8553,2.2406
601,601,2002-04-23,1.8546,2.2386
602,602,2002-04-24,1.8437,2.2321
603,603,2002-04-25,1.8376,2.2193
604,604,2002-04-26,1.8426,2.2237
605,605,2002-04-29,1.8587,2.2371
606,606,2002-04-30,1.8615,2.2361
607,607,2002-05-01,1.8563,2.2331
608,608,2002-05-02,1.8639,2.2447
609,609,2002-05-03,1.8584,2.2346
610,610,2002-05-06,1.8543,2.2346
611,611,2002-05-07,1.8481,2.2272
612,612,2002-05-08,1.8553,2.2326
613,613,2002-05-09,1.8437,2.2163
614,614,2002-05-10,1.8365,2.2099
615,615,2002-05-13,1.8315,2.1973
616,616,2002-05-14,1.8308,2.1959
617,617,2002-05-15,1.8248,2.1858
618,618,2002-05-16,1.8208,2.1683
619,619,2002-05-17,1.8109,2.1575
620,620,2002-05-20,1.8103,2.1482
621,621,2002-05-21,1.8008,2.1413
622,622,2002-05-22,1.7908,2.1209
623,623,2002-05-23,1.7905,2.1004
624,624,2002-05-24,1.7992,2.1245
626,626,2002-05-28,1.7809,2.1
627,627,2002-05-29,1.7778,2.1008
628,628,2002-05-30,1.7715,2.0947
629,629,2002-05-31,1.7668,2.0877
630,630,2002-06-03,1.7501,2.0576
631,631,2002-06-04,1.7409,2.0404
632,632,2002-06-05,1.7476,2.0555
633,633,2002-06-06,1.7397,2.0421
634,634,2002-06-07,1.751,2.0483
635,635,2002-06-10,1.7565,2.0517
636,636,2002-06-11,1.7596,2.0542
637,637,2002-06-12,1.7498,2.0296
638,638,2002-06-13,1.7581,2.0383
639,639,2002-06-14,1.7848,2.0648
640,640,2002-06-17,1.7912,2.0687
641,641,2002-06-18,1.78,2.0568
642,642,2002-06-19,1.7683,2.0521
643,643,2002-06-20,1.7516,2.0375
644,644,2002-06-21,1.7413,2.0153
645,645,2002-06-24,1.7431,2.0202
646,646,2002-06-25,1.7596,2.0408
647,647,2002-06-26,1.7813,2.0653
648,648,2002-06-27,1.7730000000000001,2.0421
649,649,2002-06-28,1.7768,2.0576
650,650,2002-07-01,1.7809,2.0576
651,651,2002-07-02,1.7784,2.05
652,652,2002-07-03,1.7848,2.0429
654,654,2002-07-05,1.796,2.0585
655,655,2002-07-08,1.7718,2.0387
656,656,2002-07-09,1.7581,2.0296
657,657,2002-07-10,1.7630000000000001,2.0396
658,658,2002-07-11,1.7879,2.0597
659,659,2002-07-12,1.7873,2.0653
660,660,2002-07-15,1.786,2.0619
661,661,2002-07-16,1.7912,2.0576
662,662,2002-07-17,1.8129,2.073
663,663,2002-07-18,1.8116,2.0738
664,664,2002-07-19,1.8002,2.0534
665,665,2002-07-22,1.8126,2.0669999999999997
666,666,2002-07-23,1.8335,2.0956
667,667,2002-07-24,1.8501,2.1413
668,668,2002-07-25,1.8464,2.1404
669,669,2002-07-26,1.8622,2.1598
670,670,2002-07-29,1.8484,2.1345
671,671,2002-07-30,1.8365,2.1272
672,672,2002-07-31,1.8365,2.1345
673,673,2002-08-01,1.8563,2.1542
